count: 138.0
[1.8333333333333333, -1.8333333333333333, 0.5]
[1.8333333333333333, -2.3333333333333335, 0.0]
[1.6666666666666667, -2.3333333333333335, -0.16666666666666666]
[1.6666666666666667, -2.6666666666666665, -0.5]
[1.5, -2.6666666666666665, -0.6666666666666666]
[1.5, -3.0, -1.0]
[1.3333333333333333, -3.0, -1.1666666666666667]
[1.3333333333333333, -3.3333333333333335, -1.5]
[1.1666666666666667, -3.3333333333333335, -1.6666666666666667]
[1.1666666666666667, -3.6666666666666665, -2.0]
[0.8333333333333334, -3.6666666666666665, -2.3333333333333335]
[0.8333333333333334, -3.8333333333333335, -2.5]
[0.6666666666666666, -3.8333333333333335, -2.6666666666666665]
[0.6666666666666666, -4.166666666666667, -3.0]
[0.3333333333333333, -4.166666666666667, -3.3333333333333335]
[0.3333333333333333, -4.333333333333333, -3.5]
[0.0, -4.333333333333333, -3.8333333333333335]
[0.0, -4.5, -4.0]
[-0.3333333333333333, -4.5, -4.333333333333333]
[-0.3333333333333333, -4.666666666666667, -4.5]
[-0.6666666666666666, -4.666666666666667, -4.833333333333333]
[-0.6666666666666666, -4.833333333333333, -5.0]
[-1.1666666666666667, -4.833333333333333, -5.5]
[-1.5, -4.833333333333333, -5.833333333333333]
[-2.0, -4.833333333333333, -6.333333333333333]
[-2.1666666666666665, -4.666666666666667, -6.333333333333333]
[-2.5, -4.666666666666667, -6.666666666666667]
[-2.6666666666666665, -4.5, -6.666666666666667]
[-3.0, -4.5, -7.0]
[-3.1666666666666665, -4.333333333333333, -7.0]
[-3.5, -4.333333333333333, -7.333333333333333]
[-3.6666666666666665, -4.166666666666667, -7.333333333333333]
[-4.0, -4.166666666666667, -7.666666666666667]
[-4.333333333333333, -3.8333333333333335, -7.666666666666667]
[-4.5, -3.8333333333333335, -7.833333333333333]
[-4.666666666666667, -3.6666666666666665, -7.833333333333333]
[-5.0, -3.6666666666666665, -8.166666666666666]
[-5.333333333333333, -3.3333333333333335, -8.166666666666666]
[-5.5, -3.3333333333333335, -8.333333333333334]
[-5.833333333333333, -3.0, -8.333333333333334]
[-6.0, -3.0, -8.5]
[-6.333333333333333, -2.6666666666666665, -8.5]
[-6.5, -2.6666666666666665, -8.666666666666666]
[-6.833333333333333, -2.3333333333333335, -8.666666666666666]
[-7.0, -2.3333333333333335, -8.833333333333334]
[-7.5, -1.8333333333333333, -8.833333333333334]
[-7.833333333333333, -1.5, -8.833333333333334]
[-8.333333333333334, -1.0, -8.833333333333334]
[-8.333333333333334, -0.8333333333333334, -8.666666666666666]
[-8.666666666666666, -0.5, -8.666666666666666]
[-8.666666666666666, -0.3333333333333333, -8.5]
[-9.0, 0.0, -8.5]
[-9.0, 0.16666666666666666, -8.333333333333334]
[-9.333333333333334, 0.5, -8.333333333333334]
[-9.333333333333334, 0.6666666666666666, -8.166666666666666]
[-9.666666666666666, 1.0, -8.166666666666666]
[-9.666666666666666, 1.3333333333333333, -7.833333333333333]
[-9.833333333333334, 1.5, -7.833333333333333]
[-9.833333333333334, 1.6666666666666667, -7.666666666666667]
[-10.166666666666666, 2.0, -7.666666666666667]
[-10.166666666666666, 2.3333333333333335, -7.333333333333333]
[-10.333333333333334, 2.5, -7.333333333333333]
[-10.333333333333334, 2.8333333333333335, -7.0]
[-10.5, 3.0, -7.0]
[-10.5, 3.3333333333333335, -6.666666666666667]
[-10.666666666666666, 3.5, -6.666666666666667]
[-10.666666666666666, 3.8333333333333335, -6.333333333333333]
[-10.833333333333334, 4.0, -6.333333333333333]
[-10.833333333333334, 4.5, -5.833333333333333]
[-10.833333333333334, 4.833333333333333, -5.5]
[-10.833333333333334, 5.333333333333333, -5.0]
[-10.666666666666666, 5.333333333333333, -4.833333333333333]
[-10.666666666666666, 5.666666666666667, -4.5]
[-10.5, 5.666666666666667, -4.333333333333333]
[-10.5, 6.0, -4.0]
[-10.333333333333334, 6.0, -3.8333333333333335]
[-10.333333333333334, 6.333333333333333, -3.5]
[-10.166666666666666, 6.333333333333333, -3.3333333333333335]
[-10.166666666666666, 6.666666666666667, -3.0]
[-9.833333333333334, 6.666666666666667, -2.6666666666666665]
[-9.833333333333334, 6.833333333333333, -2.5]
[-9.666666666666666, 6.833333333333333, -2.3333333333333335]
[-9.666666666666666, 7.166666666666667, -2.0]
[-9.333333333333334, 7.166666666666667, -1.6666666666666667]
[-9.333333333333334, 7.333333333333333, -1.5]
[-9.0, 7.333333333333333, -1.1666666666666667]
[-9.0, 7.5, -1.0]
[-8.666666666666666, 7.5, -0.6666666666666666]
[-8.666666666666666, 7.666666666666667, -0.5]
[-8.333333333333334, 7.666666666666667, -0.16666666666666666]
[-8.333333333333334, 7.833333333333333, 0.0]
[-7.833333333333333, 7.833333333333333, 0.5]
[-7.5, 7.833333333333333, 0.8333333333333334]
[-7.0, 7.833333333333333, 1.3333333333333333]
[-6.833333333333333, 7.666666666666667, 1.3333333333333333]
[-6.5, 7.666666666666667, 1.6666666666666667]
[-6.333333333333333, 7.5, 1.6666666666666667]
[-6.0, 7.5, 2.0]
[-5.833333333333333, 7.333333333333333, 2.0]
[-5.5, 7.333333333333333, 2.3333333333333335]
[-5.333333333333333, 7.166666666666667, 2.3333333333333335]
[-5.0, 7.166666666666667, 2.6666666666666665]
[-4.666666666666667, 6.833333333333333, 2.6666666666666665]
[-4.5, 6.833333333333333, 2.8333333333333335]
[-4.333333333333333, 6.666666666666667, 2.8333333333333335]
[-4.0, 6.666666666666667, 3.1666666666666665]
[-3.6666666666666665, 6.333333333333333, 3.1666666666666665]
[-3.5, 6.333333333333333, 3.3333333333333335]
[-3.1666666666666665, 6.0, 3.3333333333333335]
[-3.0, 6.0, 3.5]
[-2.6666666666666665, 5.666666666666667, 3.5]
[-2.5, 5.666666666666667, 3.6666666666666665]
[-2.1666666666666665, 5.333333333333333, 3.6666666666666665]
[-2.0, 5.333333333333333, 3.8333333333333335]
[-1.5, 4.833333333333333, 3.8333333333333335]
[-1.1666666666666667, 4.5, 3.8333333333333335]
[-0.6666666666666666, 4.0, 3.8333333333333335]
[-0.6666666666666666, 3.8333333333333335, 3.6666666666666665]
[-0.3333333333333333, 3.5, 3.6666666666666665]
[-0.3333333333333333, 3.3333333333333335, 3.5]
[0.0, 3.0, 3.5]
[0.0, 2.8333333333333335, 3.3333333333333335]
[0.3333333333333333, 2.5, 3.3333333333333335]
[0.3333333333333333, 2.3333333333333335, 3.1666666666666665]
[0.6666666666666666, 2.0, 3.1666666666666665]
[0.6666666666666666, 1.6666666666666667, 2.8333333333333335]
[0.8333333333333334, 1.5, 2.8333333333333335]
[0.8333333333333334, 1.3333333333333333, 2.6666666666666665]
[1.1666666666666667, 1.0, 2.6666666666666665]
[1.1666666666666667, 0.6666666666666666, 2.3333333333333335]
[1.3333333333333333, 0.5, 2.3333333333333335]
[1.3333333333333333, 0.16666666666666666, 2.0]
[1.5, 0.0, 2.0]
