3.75,0.5,3.25
3.75,0.75,3
4,0.75,2.75
4,1,2.5
4.25,1,2.25
4.25,1.25,2
4.5,1.25,1.75
4.5,1.75,1.25
4.25,2,1.25
4.25,2.25,1
4,2.5,1
4,2.75,0.75
3.75,3,0.75
3.75,3.25,0.5
3.25,3.75,0.5
3,3.75,0.75
2.75,4,0.75
2.5,4,1
2.25,4.25,1
2,4.25,1.25
1.75,4.5,1.25
1.25,4.5,1.75
1.25,4.25,2
1,4.25,2.25
1,4,2.5
0.75,4,2.75
0.75,3.75,3
0.5,3.75,3.25
0.5,3.25,3.75
0.75,3,3.75
0.75,2.75,4
1,2.5,4
1,2.25,4.25
1.25,2,4.25
1.25,1.75,4.5
1.75,1.25,4.5
2,1.25,4.25
2.25,1,4.25
2.5,1,4
2.75,0.75,4
3,0.75,3.75
3.25,0.5,3.75
