1.75,0,-0.25
1.75,0.25,0
1.75,0.75,0.5
1.5,0.75,0.75
1.5,1,1
1.25,1,1.25
1.25,1.25,1.5
1,1.25,1.75
1,1.5,2
0.75,1.5,2.25
0.75,1.75,2.5
0.25,1.75,3
0,1.75,3.25
-0.5,1.75,3.75
-0.75,1.5,3.75
-1,1.5,4
-1.25,1.25,4
-1.5,1.25,4.25
-1.75,1,4.25
-2,1,4.5
-2.25,0.75,4.5
-2.5,0.75,4.75
-3,0.25,4.75
-3.25,0,4.75
-3.75,-0.5,4.75
-3.75,-0.75,4.5
-4,-1,4.5
-4,-1.25,4.25
-4.25,-1.5,4.25
-4.25,-1.75,4
-4.5,-2,4
-4.5,-2.25,3.75
-4.75,-2.5,3.75
-4.75,-3,3.25
-4.75,-3.25,3
-4.75,-3.75,2.5
-4.5,-3.75,2.25
-4.5,-4,2
-4.25,-4,1.75
-4.25,-4.25,1.5
-4,-4.25,1.25
-4,-4.5,1
-3.75,-4.5,0.75
-3.75,-4.75,0.5
-3.25,-4.75,0
-3,-4.75,-0.25
-2.5,-4.75,-0.75
-2.25,-4.5,-0.75
-2,-4.5,-1
-1.75,-4.25,-1
-1.5,-4.25,-1.25
-1.25,-4,-1.25
-1,-4,-1.5
-0.75,-3.75,-1.5
-0.5,-3.75,-1.75
0,-3.25,-1.75
0.25,-3,-1.75
0.75,-2.5,-1.75
0.75,-2.25,-1.5
1,-2,-1.5
1,-1.75,-1.25
1.25,-1.5,-1.25
1.25,-1.25,-1
1.5,-1,-1
1.5,-0.75,-0.75
1.75,-0.5,-0.75
1.75,0,-0.25
